order_id,product_id,review_id,add_to_cart_order,reordered,review_id
2384,8277,1,1,1,1
2384,329,1,2,1,1
2384,47766,1,3,1,1
2384,30450,1,4,1,1
2384,37067,1,5,1,1
2384,49621,1,6,1,1
2384,33788,1,7,1,1
2384,27521,1,8,1,1
2384,29675,1,9,1,1
2384,405,1,10,1,1
2384,18889,1,11,0,1
2384,42356,1,12,0,1
2384,45104,1,13,0,1
2384,40516,1,14,0,1
2384,3481,1,15,0,1
2384,7010,1,16,0,1
2384,34243,1,17,0,1
2384,13984,1,18,0,1
2384,26369,1,19,0,1
3910,36103,2,1,0,2
3910,29487,2,2,1,2
3910,34703,2,3,0,2
3910,14992,2,4,1,2
6629,15693,3,1,1,3
6629,6132,3,2,1,3
6629,21469,3,3,1,3
6629,9124,3,4,1,3
6629,24852,3,5,1,3
6629,48845,3,6,1,3
6629,36127,3,7,1,3
6629,9637,3,8,1,3
6629,14633,3,9,1,3
6629,8929,3,10,0,3
6629,46979,3,11,1,3
7332,14715,4,1,0,4
7469,33198,5,1,1,5
7469,41774,5,2,1,5
7469,10753,5,3,1,5
7469,19022,5,4,1,5
7469,5785,5,5,1,5
7469,45603,5,6,1,5
7469,41198,5,7,1,5
7469,43182,5,8,1,5
7469,42659,5,9,1,5
7469,47626,5,10,1,5
7469,8264,5,11,1,5
7469,18765,5,12,1,5
7469,37665,5,13,1,5
7469,32579,5,14,0,5
7469,32052,5,15,0,5
7541,29553,6,1,0,6
7541,16921,6,2,0,6
7541,16759,6,3,0,6
7541,8006,6,4,0,6
7541,30480,6,5,0,6
7541,14197,6,6,0,6
7728,16617,7,1,1,7
7728,38531,7,2,1,7
8437,6069,8,1,1,8
8437,5322,8,2,1,8
8437,17224,8,3,1,8
8437,49519,8,4,1,8
8437,5487,8,5,1,8
8437,18523,8,6,1,8
8437,22286,8,7,1,8
8437,18503,8,8,1,8
8437,10221,8,9,1,8
8437,16609,8,10,1,8
15911,41061,9,1,0,9
15911,31553,9,2,0,9
15911,24852,9,3,1,9
15911,47087,9,4,1,9
15911,33754,9,5,1,9
15911,5750,9,6,1,9
15911,19348,9,7,1,9
15911,22982,9,8,1,9
15911,44980,9,9,1,9
15911,8284,9,10,0,9
15911,6448,9,11,1,9
15911,4210,9,12,1,9
15911,29127,9,13,1,9
23725,24852,10,1,1,10
23725,20842,10,2,1,10
23725,28204,10,3,0,10
23725,49683,10,4,1,10
23725,20114,10,5,1,10
23725,34969,10,6,0,10
23725,21903,10,7,1,10
23725,18479,10,8,0,10
23725,47626,10,9,0,10
23725,21137,10,10,0,10
23725,9076,10,11,0,10
23725,25890,10,12,0,10
23725,41220,10,13,0,10
32006,24184,11,1,0,11
32006,21938,11,2,0,11
32006,22935,11,3,0,11
32006,34887,11,4,0,11
32006,13111,11,5,0,11
32006,6281,11,6,0,11
32006,32476,11,7,0,11
32006,22795,11,8,0,11
32006,47324,11,9,0,11
32006,8193,11,10,0,11
32006,9387,11,11,0,11
32006,45066,11,12,0,11
33979,31506,12,1,0,12
33979,22935,12,2,0,12
33979,24964,12,3,0,12
33979,30480,12,4,0,12
33979,1643,12,5,0,12
33979,44334,12,6,0,12
33979,31717,12,7,0,12
33979,38140,12,8,1,12
33979,47492,12,9,0,12
38022,36695,13,1,1,13
38022,30098,13,2,1,13
38022,11140,13,3,1,13
38022,24964,13,4,1,13
38022,47734,13,5,1,13
38022,3583,13,6,1,13
39167,38777,14,1,1,14
39167,24838,14,2,1,14
39167,17794,14,3,0,14
39167,34590,14,4,0,14
39167,22935,14,5,1,14
39167,8277,14,6,1,14
39167,24852,14,7,1,14
39167,21903,14,8,1,14
39167,39877,14,9,1,14
41118,38226,15,1,0,15
41118,11777,15,2,0,15
43015,47912,16,1,1,16
43015,19660,16,2,1,16
43015,13176,16,3,1,16
43015,26131,16,4,1,16
43015,18465,16,5,1,16
43015,8309,16,6,1,16
43015,28465,16,7,1,16
43015,17468,16,8,0,16
43015,8490,16,9,1,16
43015,27845,16,10,1,16
43015,20400,16,11,0,16
43015,13885,16,12,0,16
43015,5450,16,13,0,16
43015,15462,16,14,1,16
43015,8193,16,15,0,16
43015,23801,16,16,0,16
43015,7411,16,17,0,16
43015,46900,16,18,0,16
43015,10221,16,19,0,16
43015,7628,16,20,0,16
43015,12283,16,21,0,16
43015,31557,16,22,1,16
53797,31506,17,1,1,17
53797,44008,17,2,0,17
53797,6104,17,3,1,17
53797,8424,17,4,1,17
53797,31915,17,5,1,17
53797,47630,17,6,1,17
62737,35143,18,1,0,18
62737,12013,18,2,0,18
62737,46145,18,3,0,18
62737,47759,18,4,0,18
62737,41272,18,5,0,18
70602,5646,19,1,0,19
70602,9339,19,2,0,19
70602,18234,19,3,0,19
70602,31717,19,4,0,19
70602,48023,19,5,0,19
70602,40723,19,6,0,19
70692,8277,20,1,0,20
70692,45007,20,2,1,20
70692,21137,20,3,0,20
70692,47209,20,4,1,20
70692,34230,20,5,1,20
70692,8053,20,6,1,20
70692,27521,20,7,1,20
70864,46979,21,1,0,21
70864,38383,21,2,0,21
70864,28986,21,3,1,21
70864,30391,21,4,1,21
70864,37687,21,5,0,21
70864,38266,21,6,1,21
70864,4799,21,7,1,21
70864,24184,21,8,1,21
70864,12891,21,9,1,21
77811,2707,22,1,0,22
77811,33351,22,2,0,22
77811,19051,22,3,1,22
77811,41844,22,4,1,22
77811,432,22,5,0,22
77811,36170,22,6,0,22
77811,47284,22,7,0,22
83592,41950,23,1,1,23
83592,24852,23,2,1,23
83592,49478,23,3,1,23
83592,47766,23,4,1,23
83592,28985,23,5,1,23
83592,49435,23,6,1,23
83592,11182,23,7,0,23
83592,29127,23,8,1,23
83592,26949,23,9,1,23
83592,26209,23,10,1,23
83592,21527,23,11,1,23
83592,13083,23,12,1,23
83592,37022,23,13,1,23
83592,41065,23,14,1,23
83592,37646,23,15,1,23
83592,21405,23,16,1,23
83592,13629,23,17,1,23
83592,39928,23,18,1,23
83592,47626,23,19,1,23
83592,1577,23,20,1,23
83592,35921,23,21,1,23
83592,581,23,22,0,23
83592,30489,23,23,1,23
83592,1994,23,24,1,23
83592,25919,23,25,1,23
83592,46969,23,26,0,23
